Date,Type,Flight Number,Ident,Departure,Enroute,Arrival,Duration,ASEL,AMEL,ASES,AMES,Heli,Experi-mental,Light Sport,Glider,Balloon,Lighter Than Air,Day,Night,Day Land,Night Land,Actual Inst.,Simulated Inst.,FTD,Num App..,X-C,X-C > 50,Solo,Dual Rec'd,Dual Given,PIC,SIC,FAR 61,FAR 141,FAR 91,FAR 121,FAR 135,High Perf.,Complex,Tail Wheel,Jet,Flight Review?,Remarks,
8/30/2022,E-Jet,DL5719,N227JQ,KBOS,,KLGA,1.4,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave Rugoletti,
8/30/2022,E-Jet,DL5843,N246JQ,KLGA,,KBOS,1.1,,1.1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Dave Rugoletti,
8/30/2022,E-Jet,DL5846,N246JQ,KBOS,,KBNA,3.6,,3.6,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Dave Rugoletti,
8/31/2022,E-Jet,DL5857,N205JQ,KBNA,,KBOS,2.5,,2.5,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Dave Rugoletti,
8/31/2022,E-Jet,DL5712,N205JQ,KBOS,,KSAV,2.7,,2.7,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Dave Rugoletti,
8/31/2022,E-Jet,DL5712,N205JQ,KSAV,,KBOS,2.3,,2.3,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Dave Rugoletti,
9/1/2022,E-Jet,AA4513,N413YX,KBOS,,KJFK,1.4,,1.4,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Mike Sarouff,
9/1/2022,E-Jet,AA4664,N413YX,KJFK,,KRDU,1.8,,1.8,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Mike Sarouff,
9/1/2022,E-Jet,AA4658,N413YX,KRDU,,KJFK,1.7,,1.7,,,,,,,,,,1.7,,1,,,,1,,,,,,,,,,,,,,,,,,Mike Sarouff,
9/2/2022,E-Jet,AA4651,N413YX,KJFK,,KORF,1.5,,1.5,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,Mike Sarouff,
